Record_ID,Camera_Node,Location_Name,GPS_Latitude,GPS_Longitude,Timestamp_IST,Vehicle_Classification,Detected_Make,Detected_Model,License_Plate,ANPR_Confidence_Pct,Vehicle_Color,Sharpness_Index,Sec65B_Integrity_Hash
11,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 20:43:32.630731,Truck,Tata,Prima 4028,GJ05XY9012,89.6%,Blue,203.7,SHA256:2E9C3E5F8AEF90A0
37,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 18:32:44.276290,Car,Tata,Nexon,GJ01OP6789,85.9%,Silver/Grey,236.8,SHA256:5DA4C5185190EA69
56,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 21:17:50.648484,Bus,Eicher,Starline 2070,GJ05WX2345,89.9%,Maroon/Dark,368.4,SHA256:058D2389B64512E7
68,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 15:57:04.362363,Car,Kia,Seltos,MP09IJ6789,89.1%,Silver/Grey,291.5,SHA256:C70F191262189681
155,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 04:26:27.953985,Scooter,Royal Enfield,Classic 350,GJ28MN2345,92.5%,Blue,263.0,SHA256:F6B7D9F10CD635C1
179,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 11:08:30.824518,Auto Rickshaw,Mahindra,Treo,GJ18UV8901,88.2%,Yellow,157.4,SHA256:F6B9E9F01AFCBE90
191,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 11:53:17.682973,Car,Toyota,Fortuner,GJ01AB1234,95.2%,White,271.9,SHA256:1B60767190971E13
193,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 20:04:55.106540,Bus,Ashok Leyland,Viking Transit,GJ01TU0123,97.4%,Maroon/Dark,189.4,SHA256:8550EA41A37338E3
297,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 16:03:35.417705,Car,Hyundai,Creta,GJ01CD5678,90.4%,Silver/Grey,378.2,SHA256:2496929746F1D323
329,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 06:14:49.020520,SUV,Mahindra,Scorpio-N,GJ03MN7890,76.2%,Black,325.5,SHA256:C032487268C71E59
330,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 20:34:22.239700,Bus,Eicher,Starline 2070,GJ05WX2345,79.1%,Maroon/Dark,249.7,SHA256:F9D5D3FAC714AFD5
406,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 06:28:27.104300,Truck,Tata,Prima 4028,GJ05XY9012,75.1%,Blue,263.9,SHA256:8D7AA328461C76CC
464,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-01 02:48:08.627018,Car,Toyota,Innova Crysta,GJ05VW4567,97.3%,Silver/Grey,177.6,SHA256:7B5D163C450E3099
479,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:19:02.807478,Car,Unknown,Vehicle,UNREADABLE-CAM-016-80250,40.3%,White,27.9,SHA256:03C1E41F4FB381DC
480,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:19:02.810004,Car,Unknown,Vehicle,UNREADABLE-CAM-016-91538,50.0%,Blue,1234.1,SHA256:DE4BF3C476A8BF5F
503,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:19:59.980570,Car,Unknown,Vehicle,UNREADABLE-CAM-016-31848,52.0%,Blue,905.2,SHA256:A9ACECC4AC79D790
504,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:19:59.982901,Car,Unknown,Vehicle,UNREADABLE-CAM-016-99874,39.1%,White,46.5,SHA256:EE8F46B72FA190A9
505,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:19:59.984245,Car,Unknown,Vehicle,UNREADABLE-CAM-016-60718,45.8%,Blue,648.9,SHA256:0D9602A13F596BC9
528,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:20:56.659036,Car,Unknown,Vehicle,UNREADABLE-CAM-016-57933,41.8%,White,58.8,SHA256:55A8E89A0A287AE1
529,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:20:56.661536,Car,Unknown,Vehicle,UNREADABLE-CAM-016-43575,52.5%,Blue,613.1,SHA256:896912BBE3F736A3
559,CAM-016,Visat T Junction P2 RLVD,23.0984,72.5841,2026-09-02 21:21:54.572333,Car,Unknown,Vehicle,UNREADABLE-CAM-016-15979,46.7%,White,147.3,SHA256:2007EE6BC7BDEFDF
